Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,2092.781494,2161.774414,2069.783936,2138.776855,934.942627,16534334
2005-01-04,2161.774414,2345.755127,2161.774414,2345.755127,1025.420898,50557450
2005-01-05,2368.752686,2368.752686,2253.764648,2253.764648,985.208313,23138827
2005-01-06,2253.764648,2345.755127,2253.764648,2322.757568,1015.367798,17697499
2005-01-07,2322.757568,2345.755127,2276.762451,2299.760010,1005.314758,10688072
2005-01-10,2299.760010,2299.760010,2253.764648,2276.762451,995.261536,8875926
2005-01-11,2276.762451,2276.762451,2207.769531,2207.769531,965.102051,13838400
2005-01-12,2207.769531,2230.767090,2184.771973,2207.769531,965.102051,4591783
2005-01-13,2230.767090,2276.762451,2230.767090,2253.764648,985.208313,9189546
2005-01-14,2276.762451,2276.762451,2253.764648,2276.762451,995.261536,3902581
2005-01-17,2299.760010,2322.757568,2276.762451,2299.760010,1005.314758,14279207
2005-01-18,2299.760010,2299.760010,2276.762451,2299.760010,1005.314758,2530698
2005-01-19,2299.760010,2414.748047,2299.760010,2414.748047,1055.580444,32980616
2005-01-20,2414.748047,2437.745605,2391.750244,2414.748047,1055.580444,8579156
2005-01-24,2391.750244,2391.750244,2322.757568,2368.752686,1035.474243,8563937
2005-01-25,2368.752686,2414.748047,2345.755127,2391.750244,1045.527466,9864072
2005-01-26,2391.750244,2460.743164,2391.750244,2460.743164,1075.686523,11420757
2005-01-27,2437.745605,2483.740723,2437.745605,2483.740723,1085.739624,10130948
2005-01-28,2483.740723,2644.723877,2483.740723,2575.731201,1125.952393,31933224
2005-01-31,2598.728760,2621.726318,2575.731201,2621.726318,1146.058716,9635244
2005-02-01,2621.726318,2759.711914,2621.726318,2713.716797,1186.271606,20588561
2005-02-02,2713.716797,2782.709473,2667.721436,2667.721436,1166.165039,17521393
2005-02-03,2713.716797,2713.716797,2598.728760,2598.728760,1136.005493,13582939
2005-02-04,2621.726318,2736.714355,2621.726318,2713.716797,1186.271606,10058658
2005-02-07,2713.716797,2736.714355,2713.716797,2713.716797,1186.271606,4110211
2005-02-08,2713.716797,2713.716797,2621.726318,2644.723877,1156.112305,3002487
2005-02-11,2644.723877,2644.723877,2598.728760,2621.726318,1146.058716,6872999
2005-02-14,2644.723877,2713.716797,2644.723877,2690.719238,1176.218506,6080525
2005-02-15,2713.716797,2805.707031,2713.716797,2782.709473,1216.430908,11492503
2005-02-16,2805.707031,2828.704834,2759.711914,2759.711914,1206.377563,7592640
2005-02-17,2759.711914,2782.709473,2759.711914,2782.709473,1216.430908,4584717
2005-02-18,2782.709473,2851.702393,2759.711914,2759.711914,1206.377563,6933332
2005-02-21,2805.707031,2851.702393,2782.709473,2851.702393,1246.590210,5585365
2005-02-22,2851.702393,2851.702393,2782.709473,2805.707031,1226.484009,5426109
2005-02-23,2805.707031,2851.702393,2759.711914,2805.707031,1226.484009,7196946
2005-02-24,2805.707031,2920.695068,2805.707031,2920.695068,1276.750000,24384610
2005-02-25,2920.695068,2920.695068,2874.699951,2874.699951,1256.643555,7769832
2005-02-28,2874.699951,2874.699951,2782.709473,2782.709473,1216.430908,12229537
2005-03-01,2782.709473,2897.697510,2782.709473,2897.697510,1266.696533,17537699
2005-03-02,2897.697510,2920.695068,2851.702393,2851.702393,1246.590210,4280881
2005-03-03,2851.702393,2897.697510,2851.702393,2897.697510,1266.696533,7458387
2005-03-04,2897.697510,2897.697510,2874.699951,2874.699951,1256.643555,2484498
2005-03-07,2897.697510,2920.695068,2874.699951,2874.699951,1256.643555,4448833
2005-03-08,2874.699951,2943.692627,2874.699951,2920.695068,1276.750000,14884705
2005-03-09,2920.695068,3058.680664,2897.697510,3012.685547,1316.962036,11185406
2005-03-10,3012.685547,3127.673584,3012.685547,3081.678223,1347.121948,6714287
2005-03-14,3058.680664,3173.668701,3035.683105,3173.668701,1387.333984,8524259
2005-03-15,3173.668701,3173.668701,3081.678223,3127.673584,1367.228394,6406103
2005-03-16,3127.673584,3127.673584,3104.676025,3104.676025,1357.175049,2523089
2005-03-17,3104.676025,3104.676025,3035.683105,3058.680664,1337.068726,3549827
2005-03-18,3081.678223,3104.676025,3058.680664,3081.678223,1347.121948,4008027
2005-03-21,3058.680664,3127.673584,3058.680664,3081.678223,1347.121948,7835600
2005-03-22,3104.676025,3150.671143,3081.678223,3104.676025,1357.175049,5787017
2005-03-23,3104.676025,3104.676025,2920.695068,2943.692627,1286.802856,9321625
2005-03-24,2920.695068,2943.692627,2759.711914,2782.709473,1216.430908,17665974
2005-03-28,2782.709473,2851.702393,2690.719238,2713.716797,1186.271606,16098962
2005-03-29,2713.716797,2713.716797,2506.738281,2529.735840,1105.846191,20066224
2005-03-30,2506.738281,2598.728760,2345.755127,2391.750244,1045.527466,82632537
2005-03-31,2437.745605,2667.721436,2437.745605,2644.723877,1156.112305,49948147
2005-04-01,2644.723877,2690.719238,2598.728760,2644.723877,1156.112305,11096810
2005-04-04,2644.723877,2667.721436,2621.726318,2667.721436,1166.165039,7440993
2005-04-05,2667.721436,2667.721436,2598.728760,2598.728760,1136.005493,7407838
2005-04-06,2621.726318,2667.721436,2621.726318,2667.721436,1166.165039,11078873
2005-04-07,2667.721436,2828.704834,2667.721436,2828.704834,1236.537231,17592596
2005-04-08,2851.702393,2897.697510,2782.709473,2782.709473,1216.430908,10840261
2005-04-11,2782.709473,2828.704834,2759.711914,2828.704834,1236.537231,8798200
2005-04-12,2805.707031,2920.695068,2805.707031,2897.697510,1266.696533,18542152
2005-04-13,2897.697510,2920.695068,2874.699951,2897.697510,1266.696533,5173366
2005-04-14,2874.699951,2874.699951,2759.711914,2782.709473,1216.430908,11327812
2005-04-15,2759.711914,2759.711914,2667.721436,2690.719238,1176.218506,15145058
2005-04-18,2621.726318,2621.726318,2529.735840,2575.731201,1125.952393,10092357
2005-04-19,2598.728760,2644.723877,2575.731201,2598.728760,1136.005493,4939102
2005-04-20,2621.726318,2644.723877,2575.731201,2621.726318,1146.058716,5297291
2005-04-21,2598.728760,2598.728760,2552.733643,2598.728760,1136.005493,7376856
2005-04-25,2575.731201,2575.731201,2391.750244,2506.738281,1095.793335,8574807
2005-04-26,2529.735840,2621.726318,2460.743164,2621.726318,1146.058716,7728523
2005-04-27,2621.726318,2667.721436,2598.728760,2667.721436,1166.165039,7242060
2005-04-28,2644.723877,2713.716797,2621.726318,2713.716797,1186.271606,6818102
2005-04-29,2667.721436,2713.716797,2621.726318,2713.716797,1186.271606,2188815
2005-05-02,2736.714355,2736.714355,2644.723877,2644.723877,1156.112305,6649063
2005-05-03,2575.731201,2690.719238,2575.731201,2690.719238,1176.218506,3420465
2005-05-04,2690.719238,2759.711914,2690.719238,2759.711914,1206.377563,7974201
2005-05-06,2759.711914,2851.702393,2759.711914,2851.702393,1246.590210,19068837
2005-05-09,2851.702393,2874.699951,2805.707031,2851.702393,1246.590210,15235285
2005-05-10,2828.704834,2874.699951,2782.709473,2874.699951,1256.643555,8453056
2005-05-11,2851.702393,2851.702393,2782.709473,2828.704834,1236.537231,5418500
2005-05-12,2851.702393,2920.695068,2851.702393,2920.695068,1276.750000,9375435
2005-05-13,2874.699951,2897.697510,2851.702393,2897.697510,1266.696533,2501891
2005-05-16,2874.699951,2897.697510,2828.704834,2851.702393,1246.590210,5172822
2005-05-17,2874.699951,2897.697510,2874.699951,2874.699951,1256.643555,8777546
2005-05-18,2897.697510,2897.697510,2851.702393,2851.702393,1246.590210,4958669
2005-05-19,2897.697510,2897.697510,2851.702393,2851.702393,1246.590210,2466018
2005-05-20,2874.699951,2874.699951,2851.702393,2874.699951,1256.643555,2522002
2005-05-23,2851.702393,2897.697510,2851.702393,2897.697510,1266.696533,2007818
2005-05-25,2874.699951,2897.697510,2874.699951,2897.697510,1266.696533,1283829
2005-05-26,2874.699951,2897.697510,2874.699951,2897.697510,1266.696533,2699194
2005-05-27,2897.697510,2966.690430,2897.697510,2966.690430,1296.856323,11033216
2005-05-30,2966.690430,3012.685547,2943.692627,2989.687988,1306.909302,5448394
2005-05-31,2966.690430,3012.685547,2943.692627,3012.685547,1316.962036,10679918
2005-06-01,2989.687988,2989.687988,2966.690430,2989.687988,1306.909302,4255878
2005-06-02,2989.687988,3012.685547,2966.690430,2989.687988,1306.909302,5277724
2005-06-03,2989.687988,3058.680664,2966.690430,3058.680664,1337.068726,18137219
2005-06-06,3035.683105,3081.678223,3035.683105,3081.678223,1347.121948,7292065
2005-06-07,3081.678223,3081.678223,3035.683105,3035.683105,1327.015137,3960739
2005-06-08,3035.683105,3150.671143,3012.685547,3150.671143,1377.281250,9071598
2005-06-09,3150.671143,3150.671143,3104.676025,3150.671143,1377.281250,3980850
2005-06-10,3127.673584,3219.663818,3127.673584,3196.666260,1397.387329,12144745
2005-06-13,3196.666260,3265.659180,3196.666260,3242.661621,1417.494019,4232506
2005-06-14,3219.663818,3265.659180,3219.663818,3265.659180,1427.546997,3405246
2005-06-15,3265.659180,3403.644775,3265.659180,3403.644775,1487.865967,17362681
2005-06-16,3403.644775,3403.644775,3357.649414,3403.644775,1487.865967,4423831
2005-06-17,3380.647217,3403.644775,3380.647217,3403.644775,1487.865967,1941506
2005-06-20,3403.644775,3495.635010,3380.647217,3495.635010,1528.078247,13415530
2005-06-21,3472.637451,3472.637451,3357.649414,3403.644775,1487.865967,5269028
2005-06-22,3403.644775,3426.642334,3357.649414,3403.644775,1487.865967,6298483
2005-06-23,3403.644775,3449.639893,3380.647217,3426.642334,1512.223755,7889953
2005-06-24,3403.644775,3449.639893,3403.644775,3449.639893,1522.373047,4605371
2005-06-27,3403.644775,3403.644775,3334.651855,3334.651855,1471.626831,952273
2005-06-28,3311.654297,3426.642334,3311.654297,3380.647217,1491.925659,2926392
2005-06-29,3426.642334,3518.632813,3426.642334,3449.639893,1522.373047,8904190
2005-06-30,3449.639893,3449.639893,3380.647217,3426.642334,1512.223755,4910295
2005-07-01,3426.642334,3426.642334,3403.644775,3426.642334,1512.223755,2786160
2005-07-04,3403.644775,3426.642334,3403.644775,3426.642334,1512.223755,3120977
2005-07-05,3426.642334,3449.639893,3403.644775,3403.644775,1502.074829,1060436
2005-07-06,3403.644775,3403.644775,3334.651855,3357.649414,1481.776001,685941
2005-07-07,3334.651855,3426.642334,3334.651855,3426.642334,1512.223755,4949429
2005-07-08,3403.644775,3426.642334,3380.647217,3380.647217,1491.925659,814758
2005-07-11,3380.647217,3472.637451,3380.647217,3472.637451,1532.521729,2599727
2005-07-12,3472.637451,3472.637451,3426.642334,3449.639893,1522.373047,4811371
2005-07-13,3426.642334,3426.642334,3380.647217,3380.647217,1491.925659,6890936
2005-07-14,3403.644775,3426.642334,3380.647217,3403.644775,1502.074829,6273480
2005-07-15,3426.642334,3495.635010,3426.642334,3449.639893,1522.373047,4530907
2005-07-18,3449.639893,3587.625488,3449.639893,3541.630371,1562.969727,6383274
2005-07-19,3541.630371,3679.615967,3541.630371,3633.620605,1603.566040,11296287
2005-07-20,3610.623047,3771.606445,3610.623047,3771.606445,1664.461060,8566111
2005-07-21,3771.606445,4070.575195,3771.606445,4024.579834,1776.102173,17563246
2005-07-22,4047.577637,4116.570313,3932.589600,3978.584717,1755.803345,7791574
2005-07-25,3955.587158,3955.587158,3817.601563,3840.599121,1694.908203,4321103
2005-07-26,3863.596680,4185.562988,3863.596680,4093.572754,1806.549194,14777629
2005-07-27,4162.565430,4231.558105,4139.567871,4162.565430,1836.996460,5274463
2005-07-28,4139.567871,4139.567871,3978.584717,4001.582275,1765.952515,5590257
2005-07-29,4024.579834,4116.570313,4024.579834,4093.572754,1806.549194,4529277
2005-08-01,4093.572754,4185.562988,4024.579834,4047.577637,1786.250732,6309354
2005-08-02,4093.572754,4185.562988,4093.572754,4116.570313,1816.698486,4755387
2005-08-03,4139.567871,4162.565430,4116.570313,4116.570313,1816.698486,7149659
2005-08-04,4116.570313,4323.548828,4116.570313,4254.556152,1877.592896,11741442
2005-08-05,4254.556152,4323.548828,4139.567871,4162.565430,1836.996460,9139540
2005-08-08,4162.565430,4277.553711,4139.567871,4208.560547,1857.295166,8562306
2005-08-09,4139.567871,4185.562988,4024.579834,4047.577637,1786.250732,13467709
2005-08-10,4070.575195,4139.567871,4070.575195,4093.572754,1806.549194,6454477
2005-08-11,4162.565430,4323.548828,4162.565430,4254.556152,1877.592896,18862838
2005-08-12,4277.553711,4277.553711,4070.575195,4185.562988,1847.145508,9988542
2005-08-15,4185.562988,4185.562988,3955.587158,3955.587158,1745.654541,15912530
2005-08-16,3978.584717,3978.584717,3771.606445,3817.601563,1684.759277,17565420
2005-08-18,3840.599121,3978.584717,3840.599121,3886.594238,1715.206543,25934771
2005-08-19,3909.592041,3932.589600,3679.615967,3679.615967,1623.864502,21793578
2005-08-22,3679.615967,3679.615967,3472.637451,3610.623047,1593.416626,20414087
2005-08-23,3633.620605,3656.618408,3518.632813,3564.627930,1573.118530,7663299
2005-08-24,3495.635010,3541.630371,3380.647217,3495.635010,1542.671021,22581704
